PMID,Original_Title,Generated_Title
34974356,From Mendel laws to whole genetic association study to decipher the swine mulefoot phenotype.,Study of  in swine
35089527,Clinically relevant experimental rodent models of diabetic foot ulcer.,Chronic wounds are a substantial clinical problem in diabetes and
35303917,Comparative analysis of Streptococcus suis genomes identifies novel candidate virulence-associated genes in North American isolates.,Approach of  in swine
34985359,Is Porcine Small Intestinal Submucosal Extracellular Matrix (ECM) a Suitable Material for Right Ventricular Outflow Tract Reconstruction in Association With Pulmonary Valve Replacement?,Pulmonary valve replacement (PVR) with right ventricular outflow tract (RVOT)
35178067,Identification of Potential Candidate Genes From Co-Expression Module Analysis During Preadipocyte Differentiation in Landrace Pig., and its association with gene
35203165,Evaluation of Stress Accompanying Immunocontraceptive Vaccination in Donkeys.,Study of  in porcine
35205240,Investigation of the Genetic Architecture of Pigs Subjected to Breeding Intensification.,Method of  in livestock
35034121,Identify known and novel candidate genes associated with backfat thickness in Duroc pigs by large-scale genome-wide association analysis.,Study of  in pig
34960607,Gammaherpesvirus Infections in Cattle in Europe.,"The genus Macavirus, subfamily Gammaherpesvirinae, comprises ungulate viruses that infect"
35257788,Microbiome biomarkers associated with the gut contraction response elicited by the Japanese traditional medicine daikenchuto.,Study of  in pig
35100362,Genome-wide association study of disease resilience traits from a natural polymicrobial disease challenge model in pigs identifies the importance of the major histocompatibility complex region.,Mapping of  in animal
35324170,Circular RNA Profiling Identifies Novel circPPARA that Promotes Intramuscular Fat Deposition in Pigs.,Study of  in porcine
35183111,Comparison of the choice of animals for re-sequencing in two maternal pig lines.,Imputation of  in animal
35126349,Maternal Nutrition During Late Gestation and Lactation: Association With Immunity and the Inflammatory Response in the Offspring.,The immature immune system at birth and environmental stress increase
35109833,Novel multifunctional robotically assisted bipolar instrument for simultaneous radiofrequency sealing and transection: preclinical and single-center experience.,Study of  in animal
35271886,A noval strategy of deletion in PK gene for construction of a vaccine candidate with exellent safety and complete protection efficiency against high virulent Chinese pseudorabies virus variant.,Study of  in swine
35425836,"Spatiotemporal Analysis and Assessment of Risk Factors in Transmission of African Swine Fever Along the Major Pig Value Chain in Lao Cai Province, Vietnam.",Study of  in pig
35339768,Is serology a realistic approach for monitoring red deer tuberculosis in the field?,Detection of  in boar
35395853,Prevalence of porcine parvovirus 1 through 7 (PPV1-PPV7) and co-factor association with PCV2 and PRRSV in Korea.,Detection of  in pig
35049984,Pneumocystis spp. in Pigs: A Longitudinal Quantitative Study and Co-Infection Assessment in Austrian Farms.,Study of  in porcine
35063043,Compositional analysis of the tonsil microbiota in relationship to Streptococcus  suis disease in nursery pigs in Ontario.,Method of  in swine
35034641,Mapping short tandem repeats for liver gene expression traits helps prioritize potential causal variants for complex traits in pigs.,Approach of  in pig
35428319,Mitochondrial supplementation of Sus scrofa metaphase II oocytes alters DNA methylation and gene expression profiles of blastocysts.,Analysis of  in animal
35181733,Identification of candidate genes that specifically regulate subcutaneous and intramuscular fat deposition using transcriptomic and proteomic profiles in Dingyuan pigs.,Study of  in pig
35445110,High stillbirth rate in a swine farm in Vietnam and associated risk factors.,Study of  in pig
35018454,Effects of increased ambient temperature and supplemental altrenogest before pregnancy establishment in gilts.,Heat stress (HS) mitigation strategies are critically needed to combat
35441964,"Discovery and synthesis of 1,2,4-oxadiazole derivatives as novel inhibitors of Zika, dengue, Japanese encephalitis, and classical swine fever virus infections.",Study of  in swine
35158711,Single-Step GBLUP and GWAS Analyses Suggests Implementation of Unweighted Two Trait Approach for Heat Stress in Swine.,Study of  in swine
35131553,Porcine iucA+ but rmpA- Klebsiella pneumoniae strains proliferate in blood of young piglets but are killed by IgM and complement dependent opsonophagocytosis when these piglets get older.,Analysis of  in porcine
34899686,The Role of Vasoactive Intestinal Peptide and Mast Cells in the Regulatory Effect of Lactobacillus casei ATCC 393 on Intestinal Mucosal Immune Barrier.,Study of  in porcine
35249015,A Therapeutic Extracorporeal Device for Specific Removal of Pathologic Asymmetric Dimethylarginine from the Blood.,Approach of  in pig
35410533,"The ""ideal protein"" concept is not ideal in animal nutrition.", and its association with protein
35308386,The Construction and Immunogenicity Analyses of Recombinant Pseudorabies Virus With NADC30-Like Porcine Reproductive and Respiratory Syndrome Virus-Like Particles Co-expression.,Study of  in porcine
35130864,Hepatitis E seroprevalence and risk factors in humans and pig in Ghana.,Study of  in pig
35175184,"Acquired haemophilia A: Italian Consensus Recommendations on diagnosis, general management and treatment of bleeding.",BACKGROUND: Acquired haemophilia A (AHA) is a rare bleeding disorder
35167316,Host Genetic Determinants of the Microbiome Across Animals: From Caenorhabditis elegans to Cattle.,Study of  in animal
35276872,Fructooligosaccharide Reduces Weanling Pig Diarrhea in Conjunction with Improving Intestinal Antioxidase Activity and Tight Junction Protein Expression.,This study was to illustrate the effects of fructooligosaccharide (FOS)
35317113,Recombinant hemagglutinin of swine H1N1 influenza virus expression in the insect  cells: Formulation in Montanide ISA71 adjuvant and the potency studies.,Study of  in swine
35386394,Whole-genome analysis reveals the hybrid formation of Chinese indigenous DHB pig  following human migration.,Approach of  in pig
35061545,Transient Cell Cycle Induction in Cardiomyocytes to Treat Subacute Ischemic Heart Failure.,Approach of  in pig
34914964,Transcription factor Sp2 promotes TGFB-mediated interstitial cell osteogenic differentiation in bicuspid aortic valves through a SMAD-dependent pathway.,Study of  in porcine
35282397,Incidence of dystocia at piglet level in cloprostenol-induced farrowings and associated risk factors.,Study of  in piglet
35052905,Comparison of Consumption Data and Phenotypical Antimicrobial Resistance in E. coli Isolates of Human Urinary Samples and of Weaning and Fattening Pigs from Surveillance and Monitoring Systems in Germany.,Antimicrobial resistance (AMR) data from humans are mostly collected from
35173214,Changes of operative performance of pulse pressure variation as a predictor of fluid responsiveness in endotoxin shock.,Analysis of  in animal
35163797,The Competitive Endogenous RNA (ceRNA) Regulation in Porcine Alveolar Macrophages (3D4/21) Infected by Swine Influenza Virus (H1N1 and H3N2).,Study of  in pig
35327174,Successful Laparoscopic Oviductal Artificial Insemination in the Endangered Tsushima Leopard Cat (Prionailurus bengalensis euptilurus).,Study of  in porcine
35433684,A Single-Nucleotide Polymorphism in the Promoter of Porcine ARHGAP24 Gene Regulates Aggressive Behavior of Weaned Pigs After Mixing by Affecting the Binding of Transcription Factor p53.,Identification of  in animal
34851149,Time Series Transcriptomic Analysis of Bronchoalveolar Lavage Cells from Piglets  Infected with Virulent or Low-Virulent Porcine Reproductive and Respiratory Syndrome Virus 1.,Analysis of  in porcine
34909741,"A Sensitization-Free Dimethyl Fumarate Prodrug, Isosorbide Di-(Methyl Fumarate),  Provides a Topical Treatment Candidate for Psoriasis.",Analysis of  in pig
35350434,Runs of Homozygosity Uncover Potential Functional-Altering Mutation Associated With Body Weight and Length in Two Duroc Pig Lines., and its association with genetic
35122326,Quantifying the probability of detection of wild ungulates with the Judas technique.,Technique of  in pig
35101484,Impact of fertilization with pig or calf slurry on antibiotic residues and resistance genes in the soil.,Method of  in pig
34872547,Length of metacarpal and metatarsal bones in five Iranian sheep breeds and their  associations with ungula measurements.,Study of  in sheep
34902738,The construction and immunogenicity analyses of a recombinant pseudorabies virus  with porcine circovirus type 3 capsid protein co-expression.,Study of  in porcine
34875996,Further host-genomic characterization of total antibody response to PRRSV vaccination and its relationship with reproductive performance in commercial sows: genome-wide haplotype and zygosity analyses.,Study of  in pig
35155642,The Evidence for a Causal Link Between Disease and Damaging Behavior in Pigs.,Damaging behaviors (DB) such as tail and ear biting are
35369328,Myocardial Extracellular Volume Fraction Measured by Cardiac Magnetic Resonance Imaging Negatively Correlates With Cardiomyocyte Breadth in a Healthy Porcine Model.,Study of  in porcine
35441590,"Neocortical pyramidal neurons with axons emerging from dendrites are frequent in  non-primates, but rare in monkey and human.",Detection of  in pig
34922518,"Transcatheter radiofrequency pulmonary artery denervation in swine: the evaluation of lesion degree, hemodynamics and pulmonary hypertension inducibility.",Study of  in swine
35011225,ACSL4 Directs Intramuscular Adipogenesis and Fatty Acid Composition in Pigs.,Study of  in pig
35122624,Mapping and analysis of a spatiotemporal H3K27ac and gene expression spectrum in  pigs., and its association with chromosome
34963048,Microfluidic Synthesis of Theranostic Nanoparticles with Near-Infrared Scintillation: Toward Next-Generation Dosimetry in X-ray-Induced Photodynamic Therapy.,We developed a microfluidic synthesis to grow GdF3:Eu theranostic scintillating
35024554,"Phenotypic detection, antimicrobial susceptibility and virulence profile of staphylococci in the pig production setting, Makurdi, Nigeria.",Study of  in pig
35296347,"Investigating the effects of peptide-based, MOS and protease feed additives on the growth performance and fecal microbial composition of weaned pigs.",Study of  in swine
35146013,Construction and Immunogenicity of a Recombinant Pseudorabies Virus Variant With  TK/gI/gE/11k/28k Deletion., and its association with variant
34878947,Quantitative susceptibility mapping as a measure of cerebral oxygenation in neonatal piglets.,Assessment of  in piglet
35090573,Serotonin receptors and their association with the immune system in the gastrointestinal tract of weaning piglets.,BACKGROUND: Immune cell activation and perpetuation of inflammation have been
35449721,Prevalence of carbapenem resistance and its potential association with antimicrobial use in humans and animals in rural communities in Vietnam.,Study of  in pig
35111328,Survey of Salmonellae occurrence in meat-producing rabbitries in Switzerland.,BACKGROUND: An outbreak of salmonellosis due to Salmonella Typhimurium was
35273382,Introgressive hybridisation between domestic pigs (Sus scrofa domesticus) and endemic Corsican wild boars (S. s. meridionalis): effects of human-mediated interventions.,Study of  in boar
35019865,Patella cryo-free technique with recycled frozen autograft reconstruction preserves extensor mechanism for proximal tibial malignancy.,Technique of  in animal
34951645,Phylogeography Reveals Association between Swine Trade and the Spread of Porcine  Epidemic Diarrhea Virus in China and across the World.,Analysis of  in livestock
35186025,"Genome-Wide Assessment of a Korean Composite Pig Breed, Woori-Heukdon.",Study of  in pig
35369845,Genome wide copy number variations using Porcine 60K SNP Beadchip in Landlly pigs.,Study of  in pig
35022274,Diagnostic Value of Circulating Antigens in the Serum of Piglets with Experimental Acute Toxoplasmosis., and its association with protein
35061866,"Risk factors for the abundance of antimicrobial resistance genes aph(3')-III, erm(B), sul2 and tet(W) in pig and broiler faeces in nine European countries.",Assessment of  in pig
35079818,Weighted single-step GWAS for body mass index and scans for recent signatures of  selection in Yorkshire pigs.,Study of  in pig
35396557,The transcriptome from asexual to sexual in vitro development of Cystoisospora suis (Apicomplexa: Coccidia)., and its association with protein
35020825,Boar spermadhesin AWN: novel insights in its binding behavior and localization on sperm.,Method of  in boar
35401691,Combined Analysis of RRBS DNA Methylome and Transcriptome Reveal Novel Candidate  Genes Related to Porcine Clostridium perfringens Type C-Induced Diarrhea.,Identification of  in piglet
35378984,The RAISE Trial: A Novel Device and First-in-Man Trial.,Study of  in animal
35322371,Effect of Carbonyl Cyanide Chlorophenylhydrazone on Intrabacterial Concentration  and Antimicrobial Activity of Amphenicols against Swine Resistant Actinobacillus  pleuropneumoniae and Pasteurella multocida., and its association with gene
35216013,A Conserved Receptor-Binding Domain in the VP1u of Primate Erythroparvoviruses Determines the Marked Tropism for Erythroid Cells.,Study of  in pig
35154256,Assessment of Heterozygosity and Genome-Wide Analysis of Heterozygosity Regions in Two Duroc Pig Populations.,Study of  in pig
34852955,"Identification by volatolomics of hydrocarbon, oxygenated, sulfur and aromatic markers of livestock exposure to α-hexabromocyclododecane.", and its association with marker
35159307,Comparative Transcriptomic Profiles of Differentiated Adipocytes Provide Insights into Adipogenesis Mechanisms of Subcutaneous and Intramuscular Fat Tissues in Pigs.,Study of  in pig
34935650,Reliable Assessment of Swine Renal Fibrosis Using Quantitative Magnetization Transfer Imaging.,Assessment of  in swine
34996689,Comparison of four equations for estimation of glomerular filtration rate in predicting cardiovascular events and subclinical vascular disease in patients with type-2 diabetes.,"AIMS: Chronic kidney disease (CKD), defined by a low glomerular"
35289986,Tri-Layered and Gel-Like Nanofibrous Scaffolds with Anisotropic Features for Engineering Heart Valve Leaflets.,Study of  in porcine
35252426,"Impact of a Regulation Restricting Critical Antimicrobial Usage on Prevalence of  Antimicrobial Resistance in Escherichia coli Isolates From Fecal and Manure Pit Samples on Dairy Farms in Québec, Canada.", and its association with gene
35234713,Dimethyl Malonate Slows Succinate Accumulation and Preserves Cardiac Function in  a Swine Model of Hemorrhagic Shock.,BACKGROUND: Succinate (SI) is a citric acid cycle metabolite that
34879859,PIG-A gene mutation as a genotoxicity biomaker in polycyclic aromatic hydrocarbon-exposed barbecue workers.,Assessment of  in pig
34983523,The recombinant pseudorabies virus expressing porcine deltacoronavirus spike protein is safe and effective for mice.,Study of  in pig
35178130,Endothelin-Converting Enzyme 1 and Vascular Endothelial Growth Factor as Potential Biomarkers during Ex Vivo Lung Perfusion with Prolonged Hypothermic Lung-Sparing.,Study of  in swine
35016714,Role of airway smooth muscle cell phenotypes in airway tone and obstruction in guinea pig asthma model., and its association with gene
35458465,Molecular Characterization of Small Ruminant Lentiviruses Isolated from Polish Goats with Arthritis.,Study of  in sheep
35325756,A 12-bp indel in the 3'UTR of porcine CISH gene associated with Landrace piglet diarrhea score.,Study of  in pig
34896249,Lactobacillus acidophilus ameliorates obesity in mice through modulation of gut microbiota dysbiosis and intestinal permeability.,Study of  in porcine
35436549,Metabolic conjugation reduces in vitro toxicity of the flavonoid nevadensin.,Evaluation of  in pig
34967057,The 2021 IXA Keith Reemtsma Lecture: Moving xenotransplantation to the clinic., and its association with genetic
35327109,Assessment of Chilling Injury in Boar Spermatozoa by Kinematic Patterns and Competitive Sperm-Oviduct Binding In Vitro.,Detection of  in boar
35142398,Intracardiac MR imaging (ICMRI) guiding-sheath with amplified expandable-tip imaging and MR-tracking for navigation and arrythmia ablation monitoring: Swine testing at 1.5 and 3T.,PURPOSE: Develop a deflectable intracardiac MR imaging (ICMRI) guiding-sheath to
35000615,"Epidemiology of Astrovirus, Norovirus and Sapovirus in Greek pig farms indicates  high prevalence of Mamastrovirus suggesting the potential need for systematic surveillance.",Study of  in pig
35410129,Identification of circRNA-associated ceRNA networks using longissimus thoracis of pigs of different breeds and growth stages.,Identification of  in porcine
34864146,Reannotation of Mycoplasma hyopneumoniae hypothetical proteins revealed novel potential virulence factors.,Identification of  in porcine
34979897,Evaluation of the phenotypic and genomic background of variability based on litter size of Large White pigs.,Method of  in pig
34977444,"Prevalence, Distribution, and Genotypes of Adenovirus and Norovirus in the Puzi River and Its Tributaries and the Surrounding Areas in Taiwan.",Detection of  in livestock
34957439,Genetic association of polymorphisms in porcine RGS16 with porcine circovirus viral load in naturally infected Yorkshire pigs.,Study of  in porcine
35413946,Lungworms (Metastrongylus spp.) demonstrated in domestic pigs with respiratory disease: was there a clinical relevance?,Detection of  in pig
35405912,Differences in Fatty Acid Profile and Physical-Chemical Composition of Slavonska  slanina-Dry Cured Smoked Bacon Produced from Black Slavonian Pig and Modern Pigs.,Study of  in pig
35074856,Basic fibroblast growth factor inhibits aortic valvular interstitial cells calcification via Notch1 pathway.,Method of  in porcine
34961532,Surgical techniques for aortic valve xenotransplantation.,BACKGROUND: Heart valve replacement in neonates and infants is one
35202111,Tissular Genomic Responses to Oral FB1 Exposure in Pigs.,Study of  in animal
35033551,Determinants for antimicrobial resistance genes in farm dust on 333 poultry and pig farms in nine European countries.,Study of  in pig
35169654,Genetic diversity of meat quality related genes in Argentinean pigs.,Study of  in pig
35098466,Transcriptomics and transmission ultrastructural examination reveals the nephrotoxicity of cadmium in laying hens.,The objective of this study was to reveal the effects
35450598,Multielectrode Unipolar Voltage Mapping and Electrogram Morphology to Identify Post-Infarct Scar Geometry: Validation by Histology.,Study of  in swine
35287733,Associations between testicular development and fetal size in the pig., and its association with gene
35336894,Genetic Characteristics and Pathogenicity of a Novel Porcine Epidemic Diarrhea Virus with a Naturally Occurring Truncated ORF3 Gene.,Evaluation of  in pig
35078535,Cough associated with the detection of Mycoplasma hyopneumoniae DNA in clinical and environmental specimens under controlled conditions.,BACKGROUND: The association of cough with Mycoplasma hyopneumoniae (MHP) DNA
35158627,Is There a Link between Vomeronasalitis and Aggression in Stable Social Groups of Female Pigs?,Study of  in animal
34988935,A putative PCV3-associated disease in piglets from Southern Brazil.,Study of  in pig
34867921,NLRP3 Inflammasome Activation Enhanced by TRIM25 is Targeted by the NS1 Protein of 2009 Pandemic Influenza A Virus., and its association with protein
35168569,Large-scale association study on daily weight gain in pigs reveals overlap of genetic factors for growth in humans.,Approach of  in pig
35448069,Porcine Models of Heart Regeneration., and its association with gene
35176608,The swine enteric virome in a commercial production system and its association with neonatal diarrhea.,Approach of  in porcine
34993422,Innovative strategies for managing swine welfare during the COVID-19 pandemic in  Iowa.,Coronavirus Disease 2019 (COVID-19) was declared a global pandemic on
34933675,Genetically modified large animal models for investigating neurodegenerative diseases., and its association with genetic
34949228,Current efforts towards safe and effective live attenuated vaccines against African swine fever: challenges and prospects., and its association with genetic
35401688,Population Genetic Structure and Selection Signature Analysis of Beijing Black Pig.,Study of  in pig
35281072,Methylome and Transcriptome-Based Integration Analysis Identified Molecular Signatures Associated With Meningitis Induced by Glaesserella parasuis.,Approach of  in porcine
35366906,A review of progress and an advanced method for shock advice algorithms in automated external defibrillators.,Shock advice algorithm plays a vital role in the detection
34941836,Infrared Thermography Evaluation of Feet Temperature and Its Association with Claw Lengths and Anisodactylia in Purebred Sows of Three Greek Herds., and its association with genetic
35265090,"Transcriptome Profiling of Porcine Naïve, Intermediate and Terminally Differentiated CD8+ T Cells.",Identification of  in pig
34929285,The construction of a haplotype reference panel using extremely low coverage whole genome sequences and its application in genome-wide association studies and genomic prediction in Duroc pigs., and its association with genomic
35454283,Genome-Wide Selection Sweep between Wild and Local Pigs from Europe for the Investigation of the Hereditary Characteristics of Domestication in Sus Scrofa.,Study of  in boar
34899750,A Co-Association Network Analysis Reveals Putative Regulators for Health-Related  Traits in Pigs.,Approach of  in pig
35454216,Retrotransposon Insertion Polymorphisms (RIPs) in Pig Coat Color Candidate Genes.,Detection of  in pig
35053107,Association of IFNA16 and TNFRSF19 Polymorphisms with Intramuscular Fat Content and Fatty Acid Composition in Pigs.,Interferon-alpha-16 (IFNA16) and tumor necrosis factor receptor superfamily member 19
35022729,"Correlations of gestational hemoglobin level, placental trace elements content, and reproductive performances in pregnant sows.",Detection of  in pig
35230646,Non-alcoholic Fatty Liver Disease: Also a Disease of the Brain? A Systematic Review of the Preclinical Evidence.,Study of  in pig
35056451,Capture and Ex-Situ Analysis of Environmental Biofilms in Livestock Buildings.,Method of  in pig
35385164,Hydrogel cultures reveal Transient Receptor Potential Vanilloid 4 regulation of myofibroblast activation and proliferation in valvular interstitial cells., and its association with protein
35182673,"Characterization, mRNA expression profile, subcellular distribution and association analysis with piglet diarrhea of porcine matrix metallopeptidase 7 (pMMP7).",Identification of  in pig
34917905,Adenoviral VEGF-B186R127S gene transfer induces angiogenesis and improves perfusion in ischemic heart., and its association with gene
35234615,Genome-wide transcriptome analysis of porcine epidemic diarrhea virus virulent or avirulent strain-infected porcine small intestinal epithelial cells.,Study of  in pig
35388401,Cytomegalovirus Infection Associated with Smaller Total Cortical Surface Area in  Schizophrenia Spectrum Disorders.,OBJECTIVES: Cytomegalovirus (CMV) congenital infection and in immunodeficiency can have
35378328,Meta-analysis of MspI derived variants of growth hormone gene associated with milk yield in dairy cattle., and its association with allele
35238185,Population genomics reveals that natural variation in PRDM16 contributes to cold  tolerance in domestic cattle.,Analysis of  in livestock
35203833,Antibiotic Use in Alpine Dairy Farms and Its Relation to Biosecurity and Animal Welfare.,The quantification of antimicrobial usage (AMU) in food-producing animals can
35232965,Integrative analyses of genomic and metabolomic data reveal genetic mechanisms associated with carcass merit traits in beef cattle.,Study of  in animal
35320949,Thyroid-Stimulating Hormone Inhibits Insulin Receptor Substrate-1 Expression and  Tyrosyl Phosphorylation in 3T3-L1 Adipocytes by Increasing NF-κB DNA-Binding Activity., and its association with protein
35327070,"Calving Ease Risk Factors and Subsequent Survival, Fertility and Milk Production  in Italian Holstein Cows.",Main risk factors associated with calving ease (ce)
35451786,"Genomic Prediction of Complex Traits in Animal Breeding with Long Breeding History, the Dairy Cattle Case.",Method of  in animal
35330865,Biomarkers common for inflammatory periodontal disease and depression: A systematic review.,Assessment of  in animal
35391795,Whole-Genome Analyses Reveal Genomic Characteristics and Selection Signatures of  Lincang Humped Cattle at the China-Myanmar Border.,Study of  in cattle
35392214,The extended farm effect: The milk protein β-lactoglobulin in stable dust protects against allergies., and its association with protein
35296234,Screening for phenotypic outliers identifies an unusually low concentration of a  β-lactoglobulin B protein isoform in bovine milk caused by a synonymous SNP.,Method of  in cattle
35203201,Evaluation of the Thuringian Bovine Johne's Disease Control Program-A Case Study.,The Thuringian Johne's Disease (JD) Control Program provides a voluntary
35233959,Copy number variation of the CCDC39 gene is associated with growth traits in Chinese cattle.,Detection of  in animal
35415213,The relationships between κ-casein (CSN3) gene polymorphism and some performance  traits in Simmental cattle.,Method of  in cattle
35256125,Description of bovine babesiosis and anaplasmosis outbreaks in northern Uruguay between 2016 and 2018.,Bovine babesiosis and anaplasmosis cause important economic losses in livestock
35233794,A de novo variant in the bovine ADAMTSL4 gene in an Original Braunvieh calf with  congenital cataract.,Analysis of  in livestock
35325183,Pleomorphic adenoma gene 1 (PLAG1) promotes proliferation and inhibits apoptosis  of bovine primary myoblasts through the PI3K-Akt signaling pathway., and its association with gene
35405828,One Health and Cattle Genetic Resources: Mining More than 500 Cattle Genomes to Identify Variants in Candidate Genes Potentially Affecting Coronavirus Infections.,Study of  in animal
35430623,"Babesiosis in cattle and ixodid tick distribution in Dasenech and Salamago Districts, southern Ethiopia.",Identification of  in animal
35431553,"Environmental and Behavioral Factors Associated With Handwashing With Soap After  Defecation in a Rural Setting of 2 Districts of the Jimma Zone, Ethiopia.",Study of  in cattle
35231232,Parameters to identify good quality oocytes and embryos in cattle.,Method of  in cattle
35431534,Delayed adverse reaction to a natural dermal filler mimicking salivary gland neoplasia.,Background: Cosmetic dermal fillers are a sought-after procedure globally.
35441227,Association of cow's milk intake in early childhood with adiposity and cardiometabolic risk in early adolescence.,BACKGROUND: Prior studies have provided conflicting evidence regarding associations of
35205299,Genomic Diversity Profiling and Breed-Specific Evolutionary Signatures of Selection in Arunachali Yak., and its association with protein
35342679,The copy number variation of DMBT1 gene effects body traits in two Chinese cattle breeds.,Method of  in cattle
35263339,Estradiol-induced immune suppression via prostaglandin E2 during parturition in bovine leukemia virus-infected cattle.,Immune suppression during pregnancy and parturition is considered a risk
35297729,Effect of LHCGR and FSHR gene polymorphisms on fertility traits and milk yield of cross-bred dairy cows in Sri Lanka., and its association with gene
35309117,Transcriptome Analysis of Bovine Rumen Tissue in Three Developmental Stages.,Study of  in cattle
35439682,"Seasonal semen quality of a local and commercial taurine cattle breeds, raised in a subtropical climate: Relationship between external morphology of the animals and climate.",Study of  in livestock
35453091,"Risk factors associated with the welfare of grazing dairy cows in spring-calving, hybrid pasture-based systems.",Imputation of  in animal
35346972,Advanced glycation end products correlate with breast cancer metastasis by activating RAGE/TLR4 signaling., and its association with gene
35369596,Genetic polymorphisms of the 5' untranslated regions of the HSP70 gene in Indonesian cattle populations.,Method of  in cattle
35448671,Phenotypic and Genotypic Characterization of C. perfringens Isolates from Dairy Cows with a Pathological Puerperium.,Detection of  in cattle
35427993,Assessing the effects of experimental bacterial challenge with Pasteurella multocida and ampicillin on the respiratory microbiota of pre-weaned Holstein calves., and its association with gene
35286235,LEM domain containing 1 promotes pancreatic cancer growth and metastasis by p53 and mTORC1 signaling pathway., and its association with protein
35352250,Polymorphism rs1046495 of the GFER Gene as a New Genetic Marker of Preposition to Type 2 Diabetes Mellitus., and its association with variant
35250142,Analysis of the 2020 Taal Volcano tephra fall deposits from crowdsourced information and field data.,"After 43 years of dormancy, Taal Volcano violently erupted in"
35300890,Young Adult Healthcare Exposure and Future Opioid Misuse: A Prospective Cohort Study.,INTRODUCTION: Outpatient opioid prescribing is associated with opioid misuse in
35452796,Macrocyclic lactone resistance in nematodes of cattle in Brazil: Blame it to the  ticks!,Evaluation of  in livestock
35447479,Expression and single nucleotide polymorphisms of vitamin D receptor gene in cows with puerperal metritis in Egypt., and its association with gene
35238583,The significance of early temperamental reactivity for children's social competence with peers: A meta-analytic review and comparison with the role of early attachment.,Early temperamental reactivity and attachment security are key predictors of
35294591,Immune epitopes identification and designing of a multi-epitope vaccine against bovine leukemia virus: a molecular dynamics and immune simulation approaches., and its association with protein
35401673,"Extensive Variation in Gene Expression is Revealed in 13 Fertility-Related Genes  Using RNA-Seq, ISO-Seq, and CAGE-Seq From Brahman Cattle.",Identification of  in cattle
