PMID,Original_Title,Generated_Title
35324170,Circular RNA Profiling Identifies Novel circPPARA that Promotes Intramuscular Fat Deposition in Pigs.,"Identification and characterization of circPPARA, a novel circRNA for intramuscular adipogenesis in pigs."
35183111,Comparison of the choice of animals for re-sequencing in two maternal pig lines.,Optimization of next-generation sequencing using imputation of low-frequency markers.
35126349,Maternal Nutrition During Late Gestation and Lactation: Association With Immunity and the Inflammatory Response in the Offspring.,"Association of Nutrients with Immune Response, Oxidative Stress, and Intestinal Microflora in Porcine."
35109833,Novel multifunctional robotically assisted bipolar instrument for simultaneous radiofrequency sealing and transection: preclinical and single-center experience.,A novel robotic-assisted bipolar radiofrequency (RF) multifunctional vessel seal-and-transection instrument (SynchroSeal).
35271886,A noval strategy of deletion in PK gene for construction of a vaccine candidate with exellent safety and complete protection efficiency against high virulent Chinese pseudorabies virus variant.,Evaluation of a TK/PK/gE deletion PRV variant with enhanced pathogenicity in neonatal piglets.
35425836,"Spatiotemporal Analysis and Assessment of Risk Factors in Transmission of African Swine Fever Along the Major Pig Value Chain in Lao Cai Province, Vietnam.","Spatial analysis of African Swine Fever outbreaks in Lao Cai province, Vietnam."
35339768,Is serology a realistic approach for monitoring red deer tuberculosis in the field?,Tuberculosis in wild red deer (Cervus elaphus) from Spain.
35395853,Prevalence of porcine parvovirus 1 through 7 (PPV1-PPV7) and co-factor association with PCV2 and PRRSV in Korea.,Prevalence of porcine parvovirus type 2 through 7 (PPV1-PV7) in Korean pigs.
35049984,Pneumocystis spp. in Pigs: A Longitudinal Quantitative Study and Co-Infection Assessment in Austrian Farms.,Longitudinally quantification of Pneumocystis carinii f. sp. suis and other pulmonary pathogens in pigs.
35063043,Compositional analysis of the tonsil microbiota in relationship to Streptococcus  suis disease in nursery pigs in Ontario.,Characterization of the tonsillar microbiota in nursery pigs with Streptococcus suis infection.
35034641,Mapping short tandem repeats for liver gene expression traits helps prioritize potential causal variants for complex traits in pigs.,Identification and validation of short tandem repeats (eSTRs) in F6 and F7 pigs.
35428319,Mitochondrial supplementation of Sus scrofa metaphase II oocytes alters DNA methylation and gene expression profiles of blastocysts.,Mitochondrial DNA in Sus scrofa blastocysts affects gene expression and DNA methylation.
35181733,Identification of candidate genes that specifically regulate subcutaneous and intramuscular fat deposition using transcriptomic and proteomic profiles in Dingyuan pigs.,Transcriptomic analysis of subcutaneous fat and intramuscular fat deposition in Dingyuan pig.
35445110,High stillbirth rate in a swine farm in Vietnam and associated risk factors.,Factors associated with a high stillbirth rate in a commercial pig farm in Vietnam.
35018454,Effects of increased ambient temperature and supplemental altrenogest before pregnancy establishment in gilts.,Effect of supplemental altrenogest (ALT) on heat stress in postpubertal gilts.
35441964,"Discovery and synthesis of 1,2,4-oxadiazole derivatives as novel inhibitors of Zika, dengue, Japanese encephalitis, and classical swine fever virus infections.","Generation of 1,2,4-oxadiazole derivatives for protection against Zika virus infection."
35158711,Single-Step GBLUP and GWAS Analyses Suggests Implementation of Unweighted Two Trait Approach for Heat Stress in Swine.,Genome-wide association study for carcass weight in swine under heat stress.
35131553,Porcine iucA+ but rmpA- Klebsiella pneumoniae strains proliferate in blood of young piglets but are killed by IgM and complement dependent opsonophagocytosis when these piglets get older.,Porcine iucA+ rmpA-Klebsiella pneumoniae cause bacteremia in young piglets in association with serum-resistant iron acquisition.
34899686,The Role of Vasoactive Intestinal Peptide and Mast Cells in the Regulatory Effect of Lactobacillus casei ATCC 393 on Intestinal Mucosal Immune Barrier.,Vasoactive intestinal peptide 393 mediates intestinal mucosal immune barrier dysfunction via  porcine intestinal mast cells.
35249015,A Therapeutic Extracorporeal Device for Specific Removal of Pathologic Asymmetric Dimethylarginine from the Blood.,Evaluation of an extracorporeal method for reduction of asymmetric dimethylarginine in blood from patients with vascular complications.
35410533,"The ""ideal protein"" concept is not ideal in animal nutrition.","Amino acids in diets of swine, poultry, fish, and crustaceans."
35308386,The Construction and Immunogenicity Analyses of Recombinant Pseudorabies Virus With NADC30-Like Porcine Reproductive and Respiratory Syndrome Virus-Like Particles Co-expression.,Construction of a recombinant pseudorabies virus with gE/gI/TK gene deletion and NADC30-like PRRSV GP5 and M protein as a vaccine against porcine reproductive and respiratory syndrome virus.
35130864,Hepatitis E seroprevalence and risk factors in humans and pig in Ghana.,Hepatitis E virus seroprevalence and risk factors in humans and domestic pigs in Ghana.
35175184,"Acquired haemophilia A: Italian Consensus Recommendations on diagnosis, general management and treatment of bleeding.",A consensus statement on haemophilia A (AHA) in Italy.
35167316,Host Genetic Determinants of the Microbiome Across Animals: From Caenorhabditis elegans to Cattle.,Heritable Gut Microbiome Composition in Animals Revealed by Transcriptome Analysis.
35276872,Fructooligosaccharide Reduces Weanling Pig Diarrhea in Conjunction with Improving Intestinal Antioxidase Activity and Tight Junction Protein Expression.,"Effect of fructooligosaccharide on the antioxidant capacity, intestinal barrier function, and microbial community of weanling pigs."
35317113,Recombinant hemagglutinin of swine H1N1 influenza virus expression in the insect  cells: Formulation in Montanide ISA71 adjuvant and the potency studies.,Expression of recombinant hemagglutinin in the baculovirus H1N1 gene and immunization with a MontanideTM ISA-71 adjuvant.
35386394,Whole-genome analysis reveals the hybrid formation of Chinese indigenous DHB pig  following human migration.,A two-step introgression of the DHB (DaHuaBai) pig in South China reveals selection after hybridization.
35061545,Transient Cell Cycle Induction in Cardiomyocytes to Treat Subacute Ischemic Heart Failure.,TNNT2-4Fpolycistronic-NIL reprogramming cardiomyocytes after myocardial infarction in mice.
34914964,Transcription factor Sp2 promotes TGFB-mediated interstitial cell osteogenic differentiation in bicuspid aortic valves through a SMAD-dependent pathway.,Low expression of miR-195-5p regulates osteogenic differentiation of valvular interstitial cells in calcified bicuspid aortic valves.
35282397,Incidence of dystocia at piglet level in cloprostenol-induced farrowings and associated risk factors.,Risk factors associated with dystocia in cloprostenol-induced farrowings in swine.
35052905,Comparison of Consumption Data and Phenotypical Antimicrobial Resistance in E. coli Isolates of Human Urinary Samples and of Weaning and Fattening Pigs from Surveillance and Monitoring Systems in Germany.,Antimicrobial resistance in clinical and nonclinical Escherichia coli from humans and pigs.
35173214,Changes of operative performance of pulse pressure variation as a predictor of fluid responsiveness in endotoxin shock.,Pulse pressure variation as a predictor of fluid responsiveness in swine endotoxin shock models.
35163797,The Competitive Endogenous RNA (ceRNA) Regulation in Porcine Alveolar Macrophages (3D4/21) Infected by Swine Influenza Virus (H1N1 and H3N2).,Identification of ceRNAs and novel_circ_0004733 in porcine alveolar macrophage cells infected by swine influenza virus.
35327174,Successful Laparoscopic Oviductal Artificial Insemination in the Endangered Tsushima Leopard Cat (Prionailurus bengalensis euptilurus).,Laparoscopic oviductal artificial insemination in a Tsushima leopard cat (Prionailurus bengalensis euptilurus).
35433684,A Single-Nucleotide Polymorphism in the Promoter of Porcine ARHGAP24 Gene Regulates Aggressive Behavior of Weaned Pigs After Mixing by Affecting the Binding of Transcription Factor p53.,Identification of functional single nucleotide polymorphisms in the porcine ARHGAP24 gene and their association with aggressive behavior in pigs.
34851149,Time Series Transcriptomic Analysis of Bronchoalveolar Lavage Cells from Piglets  Infected with Virulent or Low-Virulent Porcine Reproductive and Respiratory Syndrome Virus 1.,Transcriptomic analysis of Porcine Reproductive and Respiratory Syndrome Virus-1 Infection Reveals a Complex Network of Molecular Mechanisms Associated with Host Immune Response at Lung Level.
34909741,"A Sensitization-Free Dimethyl Fumarate Prodrug, Isosorbide Di-(Methyl Fumarate),  Provides a Topical Treatment Candidate for Psoriasis.",Dimethyl fumarate (IDMF) suppresses psoriasiform lesions by repressing immune response genes in mice.
35350434,Runs of Homozygosity Uncover Potential Functional-Altering Mutation Associated With Body Weight and Length in Two Duroc Pig Lines.,Genome-wide scan for runs of homozygosity in Duroc and Canadian Durc pigs reveals a missense mutation associated with growth and fat deposition.
35122326,Quantifying the probability of detection of wild ungulates with the Judas technique.,Modelling the probability of detection of conspecifics in a feral goat eradication program.
35101484,Impact of fertilization with pig or calf slurry on antibiotic residues and resistance genes in the soil.,Antibiotic residues and antibiotic resistance genes in slurry from pig farms and veal farms.
34872547,Length of metacarpal and metatarsal bones in five Iranian sheep breeds and their  associations with ungula measurements.,Measurement of the length of metacarpal and metatarsal bones in Iranian sheep.
34902738,The construction and immunogenicity analyses of a recombinant pseudorabies virus  with porcine circovirus type 3 capsid protein co-expression.,HNX-ΔTK/gE gene deletion and capsid protein co-expression induce protection against porcine circovirus type 3.
34875996,Further host-genomic characterization of total antibody response to PRRSV vaccination and its relationship with reproductive performance in commercial sows: genome-wide haplotype and zygosity analyses.,Genome-wide association study of antibody response to PRRSV vaccination in crossbred sows.
35155642,The Evidence for a Causal Link Between Disease and Damaging Behavior in Pigs.,A causal link between tail-biting and health problems in pigs.
35369328,Myocardial Extracellular Volume Fraction Measured by Cardiac Magnetic Resonance Imaging Negatively Correlates With Cardiomyocyte Breadth in a Healthy Porcine Model.,Cardiomyocyte size is negatively correlated with the extracellular volume fraction in a porcine model.
35441590,"Neocortical pyramidal neurons with axons emerging from dendrites are frequent in  non-primates, but rare in monkey and human.",The distribution and proportion of axon carrying dendrite neurons in neocortical pyramidal cells of non-primate species.
34922518,"Transcatheter radiofrequency pulmonary artery denervation in swine: the evaluation of lesion degree, hemodynamics and pulmonary hypertension inducibility.",Pulmonary artery denervation does not affect pulmonary arterial pressure in a TXA2-induced pulmonary hypertension model in swine.
35011225,ACSL4 Directs Intramuscular Adipogenesis and Fatty Acid Composition in Pigs.,Acyl-CoA Synthetase Long Chain Family Member 4 (ACSL4) Regulates Porcine Intramuscular Adipogenesis and Meat Quality.
35122624,Mapping and analysis of a spatiotemporal H3K27ac and gene expression spectrum in  pigs.,Mapping the spatiotemporal landscape of putative enhancers and promoters in Chinese indigenous Bama Xiang and Large White pigs.
34963048,Microfluidic Synthesis of Theranostic Nanoparticles with Near-Infrared Scintillation: Toward Next-Generation Dosimetry in X-ray-Induced Photodynamic Therapy.,GdF3:Eu theranostic scintillating nanoparticles to monitor X-ray activated photodynamic therapy.
35024554,"Phenotypic detection, antimicrobial susceptibility and virulence profile of staphylococci in the pig production setting, Makurdi, Nigeria.","Characterization and characterization of staphylococci from smallholder backyard pig farms, slaughter slabs and pig handlers in Makurdi, Nigeria."
35296347,"Investigating the effects of peptide-based, MOS and protease feed additives on the growth performance and fecal microbial composition of weaned pigs.",Effects of a peptide-based product in combination with mannose oligosaccharides and protease on the growth performance and fecal microbiome of nursery pigs.
35146013,Construction and Immunogenicity of a Recombinant Pseudorabies Virus Variant With  TK/gI/gE/11k/28k Deletion.,Construction of a Recombinant Pseudorabies Virus with TK-gI/gE- and GI-/11k/28k-Deleted Variant HN1201 Expressing a Bacterial Artificial Chromosome Infectious Clone.
34878947,Quantitative susceptibility mapping as a measure of cerebral oxygenation in neonatal piglets.,Quantitative susceptibility mapping of cerebral venous oxygenation to brain tissue O2 tension and cerebral blood flow in neonatal pigs.
35090573,Serotonin receptors and their association with the immune system in the gastrointestinal tract of weaning piglets.,The association between 5-hydroxytryptamine receptor expression and immune system biomarkers in post-weaning piglets.
35449721,Prevalence of carbapenem resistance and its potential association with antimicrobial use in humans and animals in rural communities in Vietnam.,Molecular characterization of Carbapenem-Resistant Enterobacteriaceae and Cebsiella pneumoniae in non-hospitalized humans and in animals in the Mekong Delta of Vietnam.
35111328,Survey of Salmonellae occurrence in meat-producing rabbitries in Switzerland.,No outbreak of salmonellosis due to Salmonella Typhimurium in Swiss rabbits.
35273382,Introgressive hybridisation between domestic pigs (Sus scrofa domesticus) and endemic Corsican wild boars (S. s. meridionalis): effects of human-mediated interventions.,Genetic distinctness and genome-wide domestic pig ancestry of the Corsican wild boar subspecies S. s. meridionalis and its Sardinian conspecifics.
35019865,Patella cryo-free technique with recycled frozen autograft reconstruction preserves extensor mechanism for proximal tibial malignancy.,A patella cryo-free method to protect porcine proximal tibial malignant bone from cryoinjury.
34951645,Phylogeography Reveals Association between Swine Trade and the Spread of Porcine  Epidemic Diarrhea Virus in China and across the World.,Local and global trade of Porcine Epidemic Diarrhea Virus (PEDV) in China.
35186025,"Genome-Wide Assessment of a Korean Composite Pig Breed, Woori-Heukdon.",Genome-wide mapping of the genetic diversity and runs of homozygosity in a Korean synthetic pig breed.
35369845,Genome wide copy number variations using Porcine 60K SNP Beadchip in Landlly pigs.,Identification and characterization of copy number variations in Indian porcine genome.
35022274,Diagnostic Value of Circulating Antigens in the Serum of Piglets with Experimental Acute Toxoplasmosis.,Identification of Circulating Ags in the Serum of Large White Pigs with Experimental Acute Toxoplasmosis.
35061866,"Risk factors for the abundance of antimicrobial resistance genes aph(3')-III, erm(B), sul2 and tet(W) in pig and broiler faeces in nine European countries.",Quantification of antimicrobial resistance in European pig and broiler farms using real-time PCR.
35079818,Weighted single-step GWAS for body mass index and scans for recent signatures of  selection in Yorkshire pigs.,Identification of genetic regions and candidate genes associated with body mass index in a Yorkshire pig population.
35396557,The transcriptome from asexual to sexual in vitro development of Cystoisospora suis (Apicomplexa: Coccidia).,Transcriptomic analysis of the oocyst wall tyrosine rich protein Cystoisospora suis during sexual development.
35020825,Boar spermadhesin AWN: novel insights in its binding behavior and localization on sperm.,Localization of native boar spermadhesin (AWN) in the equatorial segment of the seminal plasma of boars.
35401691,Combined Analysis of RRBS DNA Methylome and Transcriptome Reveal Novel Candidate  Genes Related to Porcine Clostridium perfringens Type C-Induced Diarrhea.,Genome-wide comparison of DNA methylation and gene expression in Clostridium perfringens type C infected piglets.
35378984,The RAISE Trial: A Novel Device and First-in-Man Trial.,Percutaneous radiofrequency ablation-based interatrial shunting for heart failure with preserved ejection fraction.
35322371,Effect of Carbonyl Cyanide Chlorophenylhydrazone on Intrabacterial Concentration  and Antimicrobial Activity of Amphenicols against Swine Resistant Actinobacillus  pleuropneumoniae and Pasteurella multocida.,Effect of carbonyl cyanide chlorophenylhydrazone (CCP) on antimicrobial activity of amphenicol-resistant Actinobacillus pleuropneumoniae and Pasteurella multocida isolated from diseased swine.
35216013,A Conserved Receptor-Binding Domain in the VP1u of Primate Erythroparvoviruses Determines the Marked Tropism for Erythroid Cells.,Identification of a conserved receptor-binding domain (VP1uR) in the N-terminal of parvovirus B19V.
35154256,Assessment of Heterozygosity and Genome-Wide Analysis of Heterozygosity Regions in Two Duroc Pig Populations.,Identification of ROHet in the Duroc pig genome and its associations with economic traits.
34852955,"Identification by volatolomics of hydrocarbon, oxygenated, sulfur and aromatic markers of livestock exposure to α-hexabromocyclododecane.",Volatile organic compounds (VOC)-based metabolomics of livestock exposure to chemical contamination.
35159307,Comparative Transcriptomic Profiles of Differentiated Adipocytes Provide Insights into Adipogenesis Mechanisms of Subcutaneous and Intramuscular Fat Tissues in Pigs.,Transcriptome analysis of adipocytes from subcutaneous and intramuscular fat tissues during differentiation.
34935650,Reliable Assessment of Swine Renal Fibrosis Using Quantitative Magnetization Transfer Imaging.,Quantitative magnetization transfer (qMT) detects murine renal fibrosis in swine kidneys with unilateral renal artery stenosis.
34996689,Comparison of four equations for estimation of glomerular filtration rate in predicting cardiovascular events and subclinical vascular disease in patients with type-2 diabetes.,Association of low glomerular filtration rate with cardiovascular events in patients with type-2 diabetes.
35289986,Tri-Layered and Gel-Like Nanofibrous Scaffolds with Anisotropic Features for Engineering Heart Valve Leaflets.,"Tri-layered, gel-like nanofibrous scaffolds for tissue engineered heart valves."
35252426,"Impact of a Regulation Restricting Critical Antimicrobial Usage on Prevalence of  Antimicrobial Resistance in Escherichia coli Isolates From Fecal and Manure Pit Samples on Dairy Farms in Québec, Canada.","Antimicrobial Resistance in Dairy Cattle in Québec, Canada, 2 Years After Regulation."
35234713,Dimethyl Malonate Slows Succinate Accumulation and Preserves Cardiac Function in  a Swine Model of Hemorrhagic Shock.,"Dimethyl malonate, a potential inhibitor of succinate dehydrogenase, prevents succinate accumulation during hemorrhagic shock in swine."
34879859,PIG-A gene mutation as a genotoxicity biomaker in polycyclic aromatic hydrocarbon-exposed barbecue workers.,Polycyclic aromatic hydrocarbons (PAH) are associated with urinary hydroxylated PIG-A metabolites in red blood cells.
34983523,The recombinant pseudorabies virus expressing porcine deltacoronavirus spike protein is safe and effective for mice.,Construction of a recombinant pseudorabies virus expressing porcine deltacoronavirus spike protein and its safety and immunogenicity in mice.
35178130,Endothelin-Converting Enzyme 1 and Vascular Endothelial Growth Factor as Potential Biomarkers during Ex Vivo Lung Perfusion with Prolonged Hypothermic Lung-Sparing.,Quantification of ECE-1 and VEGF biomarkers in a swine model of ex vivo lung perfusion with standard prolonged hypothermic preservation.
35016714,Role of airway smooth muscle cell phenotypes in airway tone and obstruction in guinea pig asthma model.,Antigenic and antigen-induced airway obstruction in guinea pigs.
35458465,Molecular Characterization of Small Ruminant Lentiviruses Isolated from Polish Goats with Arthritis.,Molecular characterization of small ruminant lentivirus strains isolated from six arthritic goats in Poland.
35325756,A 12-bp indel in the 3'UTR of porcine CISH gene associated with Landrace piglet diarrhea score.,Identification of a 12-bp insertion/deletion (indel) mutation in porcine inducible SH2-containing protein (CISH) gene and its association with diarrhea score in pigs.
34896249,Lactobacillus acidophilus ameliorates obesity in mice through modulation of gut microbiota dysbiosis and intestinal permeability.,"Lactobacillus acidophilus, a probiotic for ameliorating chronic inflammation and intestinal dysbiosis in mice."
35436549,Metabolic conjugation reduces in vitro toxicity of the flavonoid nevadensin.,"Molecular characterization of the natural occurring flavonoid nevadensin glucuronides in human colon, liver and bone marrow cells."
34967057,The 2021 IXA Keith Reemtsma Lecture: Moving xenotransplantation to the clinic.,The History of Xenotransplantation in Non-Human Primate Subjects: Keith Reemtsma's Legacy.
35327109,Assessment of Chilling Injury in Boar Spermatozoa by Kinematic Patterns and Competitive Sperm-Oviduct Binding In Vitro.,Sperm kinematics and functional sperm oviduct binding in vitro to detect chilling-induced alterations in sperm function.
35142398,Intracardiac MR imaging (ICMRI) guiding-sheath with amplified expandable-tip imaging and MR-tracking for navigation and arrythmia ablation monitoring: Swine testing at 1.5 and 3T.,Construction of a deflectable intracardiac MR imaging catheter for radiofrequency-guided electrophysiological (EP) ablation.
35000615,"Epidemiology of Astrovirus, Norovirus and Sapovirus in Greek pig farms indicates  high prevalence of Mamastrovirus suggesting the potential need for systematic surveillance.","High Prevalence of Porcine Astrovirus, Norovirus (PoNoV) and Sapoviruses in Greek Pigs in Greece."
35410129,Identification of circRNA-associated ceRNA networks using longissimus thoracis of pigs of different breeds and growth stages.,Comparison of porcine circRNA transcriptome between oxidative and glycolytic muscle tissues.
34864146,Reannotation of Mycoplasma hyopneumoniae hypothetical proteins revealed novel potential virulence factors.,Functional annotation of Mycoplasma hyopneumoniae 7448 proteins of unknown function.
34979897,Evaluation of the phenotypic and genomic background of variability based on litter size of Large White pigs.,Identification of quantitative trait loci for litter size in Large White pigs by log-transformed variance analysis.
34977444,"Prevalence, Distribution, and Genotypes of Adenovirus and Norovirus in the Puzi River and Its Tributaries and the Surrounding Areas in Taiwan.",Molecular characterization of porcine adenovirus and noroviruses in the Puzi River and surrounding areas in Taiwan.
34957439,Genetic association of polymorphisms in porcine RGS16 with porcine circovirus viral load in naturally infected Yorkshire pigs.,Regulator of G Protein Signaling 16 (RGS16) Affects Porcine Circovirus Type 2 Viral Load.
35413946,Lungworms (Metastrongylus spp.) demonstrated in domestic pigs with respiratory disease: was there a clinical relevance?,Metastrongylus spp. on the outbreak of respiratory disease in an outdoor pig herd in Sweden.
35405912,Differences in Fatty Acid Profile and Physical-Chemical Composition of Slavonska  slanina-Dry Cured Smoked Bacon Produced from Black Slavonian Pig and Modern Pigs.,Comparison of psysico-chemical composition and fatty acid composition of traditional dry cured bacon Slavonska slanina produced from Black Slavonian Pig and Modern Pig.
35074856,Basic fibroblast growth factor inhibits aortic valvular interstitial cells calcification via Notch1 pathway.,The effect of fibroblast growth factor on osteogenic differentiation of valvular interstitial cells in calcific aortic valve disease.
34961532,Surgical techniques for aortic valve xenotransplantation.,Aortic Valve Xenotransplantation in Neonates and Infants.
35202111,Tissular Genomic Responses to Oral FB1 Exposure in Pigs.,Transcriptome analysis of the effects of fumonisin B1 (FB1) on fours organs in pigs.
35033551,Determinants for antimicrobial resistance genes in farm dust on 333 poultry and pig farms in nine European countries.,Comparison of relative antimicrobial resistance genes in airborne farm dust from poultry and pigs.
35169654,Genetic diversity of meat quality related genes in Argentinean pigs.,Identification of quantitative trait loci for meat quality in commercial and Creole pigs from the North-West of Argentina.
35098466,Transcriptomics and transmission ultrastructural examination reveals the nephrotoxicity of cadmium in laying hens.,"Effects of cadmium on ultrastructural changes, oxidative stress, and transcriptome expression in the kidneys of laying hens."
35450598,Multielectrode Unipolar Voltage Mapping and Electrogram Morphology to Identify Post-Infarct Scar Geometry: Validation by Histology.,Unipolar voltage mapping of the morphology of swine with small electrode catheters to delineate complex scar geometries.
35287733,Associations between testicular development and fetal size in the pig.,Temporal changes in testicular gene expression during testes development in fetuses of different size.
35336894,Genetic Characteristics and Pathogenicity of a Novel Porcine Epidemic Diarrhea Virus with a Naturally Occurring Truncated ORF3 Gene.,Molecular characterization and characterization of porcine epidemic diarrhea virus HN2021 from immunized piglets in central China.
