PMID,Original_Title,Rule_Based_Title,BART_Title,Hybrid_Title,BLEU_Score
35443903,Comparison of three antioxidants in chemical and biological assays on porcine oocytes during ageing in vitro.,Study of  in porcine,Effect of β-Cryptoxanthin on In Vitro Maturation of Porcine Oocytes and Embryos.,"Effect of β-cryptoxanthin, hesperetin, HES, and icariin antioxidants on in vitro maturation of porcine oocytes.",0.019353025723385747
35249475,Effect of feeding regimen on circadian activity rhythms of food anticipatory by ghrelin hormone in a pig model.,Increasingly diverse meal patterns affect the internal body clock., irregular eating patterns affect circadian entrainment and circadian rhythm pathways in hypothalamus tissue.,Intracellular PKC/PLC and AC/PKA pathways regulate circadian entrainment and circadian rhythm in growing pigs.,0.012764741709898067
35059141,Detecting the differential genomic variants using cross-population phenotype-associated variant (XP-PAV) of the Landrace and Yorkshire pigs in Korea.,Method of  in pig,Cross-population phenotype associated variant analysis reveals differential selection between Landrace and Yorkshire pigs.,Cross-population phenotype associated variant analysis reveals differential selection between Landrace and Yorkshire pigs.,0.06224860903679662
35205304,"MiR-218-5p Affects Subcutaneous Adipogenesis by Targeting ACSL1, a Novel Candidate for Pig Fat Deposition.",Study of  in porcine,Effect of miR-218-5p/ACSL1 axis on porcine preadipocyte differentiation.,The miR-218-5p/ACSL1 axis regulates porcine preadipocyte differentiation by inhibiting ACSL1 expression.,0.014350755161376995
35189068,Cloning of FITM2 gene and investigating its expression levels in Banna miniature  inbred pig (Sus scrofa) tissues., and its association with protein,Mutation of FITM2 gene to Banna miniature inbred pigs and other species.,Mutation of FITM2 gene to Banna miniature inbred pigs and other species.,0.0971374866908255
34868241,Trait-specific Selection Signature Detection Reveals Novel Loci of Meat Quality in Large White Pigs., and its association with trait,Identification of Selection Signatures for Meat Quality Traits in Pigs Revealed by Genomic Sequencing.,Identification of Selection Signatures for Meat Quality Traits in Pigs Revealed by Genomic Sequencing.,0.03798229226827674
34901898,Interaction of Klebsiella pneumoniae with tissue macrophages in a mouse infection model and ex-vivo pig organ perfusions: an exploratory investigation.,Study of  in pig,Within-macrophage replication in hypervirulent Klebsiella pneumoniae strains of capsule type K1 and K2.,Within-macrophage replication in hypervirulent Klebsiella pneumoniae strains of capsule type K1 and K2.,0.02411361403866079
35434674,Cortical bone trajectory fixation cause low compression force in anterior vertebral column.,Study of  in pig,Intraoperatively measured the insertional torque of the long cortical bone trajectory screws.,Intraoperatively analysis of the insertional torque of the long cortical bone trajectory screws.,0.0768968397262906
34850103,Bringing the Animal QTLdb and CorrDB into the future: meeting new challenges and  providing updated services.,Mapping of  in pig,Animal QTLdb and CorrDB: a comprehensive database for livestock animal genetics and genomics research.,Animal QTLdb and CorrDB: a comprehensive database for livestock animal genetics and genomics research.,0.06585201949844262
35180661,A biosecurity survey on Iberian pig farms in Spain: Farmers' attitudes towards the implementation of measures and investment.,Analysis of  in pig,Iberian pig farmers in the South-West of Spain: attitudes towards biosecurity measures.,Iberian pig farmers in the South-West of Spain: attitudes towards biosecurity measures.,0.03784136338259359
35341848,"Exposure to industrial hog operations and gastrointestinal illness in North Carolina, USA.","With 9 million hogs, North Carolina (NC) is the second",Risk factors associated with acute gastrointestinal illness in North Carolina hogs housed at concentrated animal feeding operations.,Risk factors associated with acute gastrointestinal illness in North Carolina hogs housed at concentrated animal feeding operations.,0.1431712315455507
35411431,Effects of MitraClip Therapy on Mitral Flow Patterns and Vortex Formation: An In  Vitro Study.,MitraClip transcatheter edge-to-edge repair is used to treat mitral regurgitation,MitraClip transcatheter edge-to-edge repair for mitral regurgitation.,MitraClip transcatheter edge-to-edge repair for mitral regurgitation.,0.012527116798509994
35215890,Effects of the NF-κB Signaling Pathway Inhibitor BAY11-7082 in the Replication of ASFV.,Study of  in porcine,African swine fever virus infection activates the NF-κB signaling pathway and up-regulates the expression of interleukin-1 beta and I-8 and inhibits the replication of porcine alveolar macrophages.,African swine fever virus infection activates the NF-κB signaling pathway and up-regulates the expression of IL-1β and IL-8 in porcine alveolar macrophages.,0.12436722085116984
34974356,From Mendel laws to whole genetic association study to decipher the swine mulefoot phenotype.,Study of  in swine,Identification of the Von Willebrand Factor C Domain (VWC2L) as a candidate gene for the swine mulefoot phenotype.,Identification of the Von Willebrand Factor C Domain (VWC2L) as a candidate gene for the swine mulefoot phenotype.,0.13445273575332964
35089527,Clinically relevant experimental rodent models of diabetic foot ulcer.,Chronic wounds are a substantial clinical problem in diabetes and,Animal models of wound healing in diabetic foot ulcer.,Animal models of wound healing in diabetic foot ulcer.,0.14923729480049117
35303917,Comparative analysis of Streptococcus suis genomes identifies novel candidate virulence-associated genes in North American isolates.,Approach of  in swine,Identification of virulence-associated genes in Streptococcus suis isolates from North America by pan-genome analysis.,Identification of virulence-associated genes in Streptococcus suis isolates from North America by pan-genome analysis.,0.09002693391848274
34985359,Is Porcine Small Intestinal Submucosal Extracellular Matrix (ECM) a Suitable Material for Right Ventricular Outflow Tract Reconstruction in Association With Pulmonary Valve Replacement?,Pulmonary valve replacement (PVR) with right ventricular outflow tract (RVOT),Porcine submucosal intestinal-derived extracellular matrix dehiscence in pulmonary valve replacement with right ventricular outflow tract.,Porcine submucosal intestinal-derived extracellular matrix dehiscence in pulmonary valve replacement with right ventricular outflow tract.,0.06315437945226038
35178067,Identification of Potential Candidate Genes From Co-Expression Module Analysis During Preadipocyte Differentiation in Landrace Pig., and its association with gene,Differential expression of angiopoietin-like 4 during preadipocyte differentiation in Landrace pigs.,Differential expression of angiopoietin-like 4 during preadipocyte differentiation in Landrace pigs.,0.25526076207555654
35203165,Evaluation of Stress Accompanying Immunocontraceptive Vaccination in Donkeys.,Study of  in porcine,Evaluation of acute and chronic stress induced by two zona pellucida vaccines formulated with a Freund's adjuvant.,Evaluation of acute and chronic stress induced by two zona pellucida vaccines formulated with a Freund's adjuvant.,0.026920508809559315
35205240,Investigation of the Genetic Architecture of Pigs Subjected to Breeding Intensification.,Method of  in livestock,Transcriptomic analysis of HBD in Large White pigs grown on the same farm but in different years.,Transcriptomic analysis of HBD in Large White pigs grown on the same farm but in different years.,0.015138514598766055
35034121,Identify known and novel candidate genes associated with backfat thickness in Duroc pigs by large-scale genome-wide association analysis.,Study of  in pig,Genome-Wide Association Analysis Reveals Candidate Genes Associated with Backfat Thickness in Pigs.,Genome-Wide Association Analysis Reveals Candidate Genes Associated with Backfat Thickness in Pigs.,0.346131628097006
34960607,Gammaherpesvirus Infections in Cattle in Europe.,"The genus Macavirus, subfamily Gammaherpesvirinae, comprises ungulate viruses that infect","Bovine herpesvirus 6 (BoHV-6) and gammaherpesviruses of other ruminants in Switzerland, Belgium, Germany.","Bovine herpesvirus 6 (BoHV-6) and gammaherpesviruses of other ruminants in Switzerland, Belgium, and Germany.",0.01428363257865929
35257788,Microbiome biomarkers associated with the gut contraction response elicited by the Japanese traditional medicine daikenchuto.,Study of  in pig,Quantification of objective biomarkers for colon contraction intensity in Japanese traditional medicine.,Quantification of objective biomarkers for colon contraction intensity in Japanese traditional medicine.,0.033360862268577436
35100362,Genome-wide association study of disease resilience traits from a natural polymicrobial disease challenge model in pigs identifies the importance of the major histocompatibility complex region.,Mapping of  in animal,Genome-wide association studies and gene set enrichment analyses identify quantitative trait loci for disease resilience in pigs.,Genome-wide association studies and gene set enrichment analyses identify quantitative trait loci for disease resilience in pigs.,0.02272108552694168
35324170,Circular RNA Profiling Identifies Novel circPPARA that Promotes Intramuscular Fat Deposition in Pigs.,Study of  in porcine,"Identification and characterization of circPPARA, a novel circRNA for intramuscular adipogenesis in pigs.",Identification and characterization of a circRNA targeting miR-429 and microR-200b in porcine intramuscular fat.,0.0169861974906263
35183111,Comparison of the choice of animals for re-sequencing in two maternal pig lines.,Imputation of  in animal,Optimization of next-generation sequencing using imputation of low-frequency markers.,Optimization of next-generation sequencing using imputation of low-frequency markers.,0.018284887072297418
35126349,Maternal Nutrition During Late Gestation and Lactation: Association With Immunity and the Inflammatory Response in the Offspring.,The immature immune system at birth and environmental stress increase,"Association of Nutrients with Immune Response, Oxidative Stress, and Intestinal Microflora in Porcine.","Association of Nutrients with Immune Response, Oxidative Stress, and Intestinal Microflora in Porcine.",0.016153126924830924
35109833,Novel multifunctional robotically assisted bipolar instrument for simultaneous radiofrequency sealing and transection: preclinical and single-center experience.,Study of  in animal,A novel robotic-assisted bipolar radiofrequency (RF) multifunctional vessel seal-and-transection instrument (SynchroSeal).,A novel robotic-assisted bipolar radiofrequency (RF) multifunctional vessel seal-and-transection instrument (SynchroSeal).,0.017891824230337642
35271886,A noval strategy of deletion in PK gene for construction of a vaccine candidate with exellent safety and complete protection efficiency against high virulent Chinese pseudorabies virus variant.,Study of  in swine,Evaluation of a TK/PK/gE deletion PRV variant with enhanced pathogenicity in neonatal piglets.,TK/PK/gE deletion PRVΔTK&gE-AH02 attenuates virulence of porcine pseudorabies virus.,0.0038220024466524864
35425836,"Spatiotemporal Analysis and Assessment of Risk Factors in Transmission of African Swine Fever Along the Major Pig Value Chain in Lao Cai Province, Vietnam.",Study of  in pig,"Spatial analysis of African Swine Fever outbreaks in Lao Cai province, Vietnam.","Spatial analysis of African Swine Fever outbreaks in Lao Cai province, Vietnam.",0.2005851292734348
35339768,Is serology a realistic approach for monitoring red deer tuberculosis in the field?,Detection of  in boar,Tuberculosis in wild red deer (Cervus elaphus) from Spain.,Tuberculosis in wild red deer (Cervus elaphus) from Spain.,0.04598405652536822
35395853,Prevalence of porcine parvovirus 1 through 7 (PPV1-PPV7) and co-factor association with PCV2 and PRRSV in Korea.,Detection of  in pig,Prevalence of porcine parvovirus type 2 through 7 (PPV1-PV7) in Korean pigs.,Prevalence of porcine parvovirus type 2 through 7 in Korea and association of these viruses with Porcine circovirus 2 and 7.,0.15732647746232498
35049984,Pneumocystis spp. in Pigs: A Longitudinal Quantitative Study and Co-Infection Assessment in Austrian Farms.,Study of  in porcine,Longitudinally quantification of Pneumocystis carinii f. sp. suis and other pulmonary pathogens in pigs.,Longitudinally quantification of Pneumocystis carinii f. sp. suis and other pulmonary pathogens in pigs.,0.018798317647335087
35063043,Compositional analysis of the tonsil microbiota in relationship to Streptococcus  suis disease in nursery pigs in Ontario.,Method of  in swine,Characterization of the tonsillar microbiota in nursery pigs with Streptococcus suis infection.,Characterization of the tonsillar microbiota in nursery pigs with Streptococcus suis infection.,0.08930069801473409
35034641,Mapping short tandem repeats for liver gene expression traits helps prioritize potential causal variants for complex traits in pigs.,Approach of  in pig,Identification and validation of short tandem repeats (eSTRs) in F6 and F7 pigs.,Identification and validation of short tandem repeats (eSTRs) in F6 and F7 pigs.,0.055071521104454506
35428319,Mitochondrial supplementation of Sus scrofa metaphase II oocytes alters DNA methylation and gene expression profiles of blastocysts.,Analysis of  in animal,Mitochondrial DNA in Sus scrofa blastocysts affects gene expression and DNA methylation.,Mitochondrial DNA in Sus scrofa blastocysts affects gene expression and DNA methylation.,0.03862529991560624
35181733,Identification of candidate genes that specifically regulate subcutaneous and intramuscular fat deposition using transcriptomic and proteomic profiles in Dingyuan pigs.,Study of  in pig,Transcriptomic analysis of subcutaneous fat and intramuscular fat deposition in Dingyuan pig.,Transcriptomic analysis of subcutaneous fat and intramuscular fat deposition in Dingyuan pig.,0.14325155974965595
35445110,High stillbirth rate in a swine farm in Vietnam and associated risk factors.,Study of  in pig,Factors associated with a high stillbirth rate in a commercial pig farm in Vietnam.,Factors associated with a high stillbirth rate in a commercial pig farm in Vietnam.,0.3161487584488943
35018454,Effects of increased ambient temperature and supplemental altrenogest before pregnancy establishment in gilts.,Heat stress (HS) mitigation strategies are critically needed to combat,Effect of supplemental altrenogest (ALT) on heat stress in postpubertal gilts.,Effect of supplemental altrenogest (ALT) on heat stress in postpubertal gilts.,0.04179252131328987
35441964,"Discovery and synthesis of 1,2,4-oxadiazole derivatives as novel inhibitors of Zika, dengue, Japanese encephalitis, and classical swine fever virus infections.",Study of  in swine,"Generation of 1,2,4-oxadiazole derivatives for protection against Zika virus infection.","Generation of 1,2,4-oxadiazole derivatives for protection against Zika virus infection.",0.04129242424790971
35158711,Single-Step GBLUP and GWAS Analyses Suggests Implementation of Unweighted Two Trait Approach for Heat Stress in Swine.,Study of  in swine,Genome-wide association study for carcass weight in swine under heat stress.,Genome-wide association study for carcass weight in swine under heat stress.,0.01437841846606559
35131553,Porcine iucA+ but rmpA- Klebsiella pneumoniae strains proliferate in blood of young piglets but are killed by IgM and complement dependent opsonophagocytosis when these piglets get older.,Analysis of  in porcine,Porcine iucA+ rmpA-Klebsiella pneumoniae cause bacteremia in young piglets in association with serum-resistant iron acquisition.,Porcine iucA+ rmpA-Klebsiella pneumoniae cause bacteremia in young piglets in association with aerobactin-mediated iron acquisition.,0.019657294886003495
34899686,The Role of Vasoactive Intestinal Peptide and Mast Cells in the Regulatory Effect of Lactobacillus casei ATCC 393 on Intestinal Mucosal Immune Barrier.,Study of  in porcine,Vasoactive intestinal peptide 393 mediates intestinal mucosal immune barrier dysfunction via  porcine intestinal mast cells.,Vasoactive intestinal peptide 393 mediates intestinal mucosal immune barrier dysfunction via  porcine mucosal mast cells.,0.06935620099855898
35249015,A Therapeutic Extracorporeal Device for Specific Removal of Pathologic Asymmetric Dimethylarginine from the Blood.,Approach of  in pig,Evaluation of an extracorporeal method for reduction of asymmetric dimethylarginine in blood from patients with vascular complications.,Evaluation of an extracorporeal method for reduction of asymmetric dimethylarginine in blood from patients with vascular complications.,0.03201406061582137
35410533,"The ""ideal protein"" concept is not ideal in animal nutrition.", and its association with protein,"Amino acids in diets of swine, poultry, fish, and crustaceans.","Amino acids in diets of swine, poultry, fish, and crustaceans.",0.021105340631872645
35308386,The Construction and Immunogenicity Analyses of Recombinant Pseudorabies Virus With NADC30-Like Porcine Reproductive and Respiratory Syndrome Virus-Like Particles Co-expression.,Study of  in porcine,Construction of a recombinant pseudorabies virus with gE/gI/TK gene deletion and NADC30-like PRRSV GP5 and M protein as a vaccine against porcine reproductive and respiratory syndrome virus.,Construction of a recombinant pseudorabies virus with gE/gI/TK gene deletion and NADC30-like PRRSV GP5 and M protein as a vaccine against porcine reproductive and respiratory syndrome virus.,0.2385948537905441
35130864,Hepatitis E seroprevalence and risk factors in humans and pig in Ghana.,Study of  in pig,Hepatitis E virus seroprevalence and risk factors in humans and domestic pigs in Ghana.,Hepatitis E virus seroprevalence and risk factors in humans and domestic pigs in Ghana.,0.5202556880807584
35175184,"Acquired haemophilia A: Italian Consensus Recommendations on diagnosis, general management and treatment of bleeding.",BACKGROUND: Acquired haemophilia A (AHA) is a rare bleeding disorder,A consensus statement on haemophilia A (AHA) in Italy.,A consensus statement on haemophilia A (AHA) in Italy.,0.018107569251105026
35167316,Host Genetic Determinants of the Microbiome Across Animals: From Caenorhabditis elegans to Cattle.,Study of  in animal,Heritable Gut Microbiome Composition in Animals Revealed by Transcriptome Analysis.,Heritable Gut Microbiome Composition in Animals Revealed by Transcriptome Analysis.,0.015635220893785457
35276872,Fructooligosaccharide Reduces Weanling Pig Diarrhea in Conjunction with Improving Intestinal Antioxidase Activity and Tight Junction Protein Expression.,This study was to illustrate the effects of fructooligosaccharide (FOS),"Effect of fructooligosaccharide on the antioxidant capacity, intestinal barrier function, and microbial community of weanling pigs.","Effect of fructooligosaccharide on the antioxidant capacity, intestinal barrier function, and microbial community of weanling pigs.",0.016341839292734694
35317113,Recombinant hemagglutinin of swine H1N1 influenza virus expression in the insect  cells: Formulation in Montanide ISA71 adjuvant and the potency studies.,Study of  in swine,Expression of recombinant hemagglutinin in the baculovirus H1N1 gene and immunization with a MontanideTM ISA-71 adjuvant.,Expression of recombinant hemagglutinin in the baculovirus H1N1 gene and its immunization with a MontanideTM ISA-71 adjuvant.,0.0323330005057157
35386394,Whole-genome analysis reveals the hybrid formation of Chinese indigenous DHB pig  following human migration.,Approach of  in pig,A two-step introgression of the DHB (DaHuaBai) pig in South China reveals selection after hybridization.,A two-step introgression of the DHB (DaHuaBai) pig in South China reveals selection after hybridization.,0.019765441873349214
35061545,Transient Cell Cycle Induction in Cardiomyocytes to Treat Subacute Ischemic Heart Failure.,Approach of  in pig,TNNT2-4Fpolycistronic-NIL reprogramming cardiomyocytes after myocardial infarction in mice.,TNNT2-4Fpolycistronic-NIL reprogramming cardiomyocytes after myocardial infarction in mice.,0.020034704329441457
34914964,Transcription factor Sp2 promotes TGFB-mediated interstitial cell osteogenic differentiation in bicuspid aortic valves through a SMAD-dependent pathway.,Study of  in porcine,Low expression of miR-195-5p regulates osteogenic differentiation of valvular interstitial cells in calcified bicuspid aortic valves.,Low expression of miR-195-5p regulates osteogenic differentiation of valvular interstitial cells in calcified bicuspid aortic valves.,0.03824557978152159
35282397,Incidence of dystocia at piglet level in cloprostenol-induced farrowings and associated risk factors.,Study of  in piglet,Risk factors associated with dystocia in cloprostenol-induced farrowings in swine.,Risk factors associated with dystocia in cloprostenol-induced farrowings in swine.,0.09202362411222717
35052905,Comparison of Consumption Data and Phenotypical Antimicrobial Resistance in E. coli Isolates of Human Urinary Samples and of Weaning and Fattening Pigs from Surveillance and Monitoring Systems in Germany.,Antimicrobial resistance (AMR) data from humans are mostly collected from,Antimicrobial resistance in clinical and nonclinical Escherichia coli from humans and pigs.,Antimicrobial resistance in clinical and nonclinical Escherichia coli from humans and pigs.,0.02526837902802674
35173214,Changes of operative performance of pulse pressure variation as a predictor of fluid responsiveness in endotoxin shock.,Analysis of  in animal,Pulse pressure variation as a predictor of fluid responsiveness in swine endotoxin shock models.,Pulse pressure variation as a predictor of fluid responsiveness in swine endotoxin shock models.,0.5594114771766143
35163797,The Competitive Endogenous RNA (ceRNA) Regulation in Porcine Alveolar Macrophages (3D4/21) Infected by Swine Influenza Virus (H1N1 and H3N2).,Study of  in pig,Identification of ceRNAs and novel_circ_0004733 in porcine alveolar macrophage cells infected by swine influenza virus.,"Identification of ceRNAs, mRNAs and novel_circ_0004733 in porcine alveolar macrophage cells infected by swine influenza virus.",0.1897992267368494
35327174,Successful Laparoscopic Oviductal Artificial Insemination in the Endangered Tsushima Leopard Cat (Prionailurus bengalensis euptilurus).,Study of  in porcine,Laparoscopic oviductal artificial insemination in a Tsushima leopard cat (Prionailurus bengalensis euptilurus).,Laparoscopic oviductal artificial insemination in a Tsushima leopard cat (Prionailurus bengalensis euptilurus).,0.6220700406786386
35433684,A Single-Nucleotide Polymorphism in the Promoter of Porcine ARHGAP24 Gene Regulates Aggressive Behavior of Weaned Pigs After Mixing by Affecting the Binding of Transcription Factor p53.,Identification of  in animal,Identification of functional single nucleotide polymorphisms in the porcine ARHGAP24 gene and their association with aggressive behavior in pigs.,Identification of functional single nucleotide polymorphisms in the porcine ARHGAP24 gene and their association with aggressive behavior in pigs.,0.05298287393133927
34851149,Time Series Transcriptomic Analysis of Bronchoalveolar Lavage Cells from Piglets  Infected with Virulent or Low-Virulent Porcine Reproductive and Respiratory Syndrome Virus 1.,Analysis of  in porcine,Transcriptomic analysis of Porcine Reproductive and Respiratory Syndrome Virus-1 Infection Reveals a Complex Network of Molecular Mechanisms Associated with Host Immune Response at Lung Level.,Transcriptomic analysis of Porcine Reproductive and Respiratory Syndrome Virus-1 Infection Reveals a Complex Association among Co-inhibitory and Co-Stimulatory Responses.,0.216451819390962
34909741,"A Sensitization-Free Dimethyl Fumarate Prodrug, Isosorbide Di-(Methyl Fumarate),  Provides a Topical Treatment Candidate for Psoriasis.",Analysis of  in pig,Dimethyl fumarate (IDMF) suppresses psoriasiform lesions by repressing immune response genes in mice.,Dimethyl fumarate (IDMF) suppresses psoriasiform lesions by repressing immune response genes in mice.,0.02817173810403087
35350434,Runs of Homozygosity Uncover Potential Functional-Altering Mutation Associated With Body Weight and Length in Two Duroc Pig Lines., and its association with genetic,Genome-wide scan for runs of homozygosity in Duroc and Canadian Durc pigs reveals a missense mutation associated with growth and fat deposition.,Genome-wide scan for runs of homozygosity in Duroc and Canadian Durocan pigs.,0.06080565350637442
35122326,Quantifying the probability of detection of wild ungulates with the Judas technique.,Technique of  in pig,Modelling the probability of detection of conspecifics in a feral goat eradication program.,Modelling the probability of detection of conspecifics in a feral goat eradication program.,0.2891784933232572
35101484,Impact of fertilization with pig or calf slurry on antibiotic residues and resistance genes in the soil.,Method of  in pig,Antibiotic residues and antibiotic resistance genes in slurry from pig farms and veal farms.,Antibiotic residues and antibiotic resistance genes in slurry from pig farms and veal farms.,0.10311469474045852
34872547,Length of metacarpal and metatarsal bones in five Iranian sheep breeds and their  associations with ungula measurements.,Study of  in sheep,Measurement of the length of metacarpal and metatarsal bones in Iranian sheep.,Measurement of the length of metacarpal and metatarsal bones in Iranian sheep.,0.35148570265958
34902738,The construction and immunogenicity analyses of a recombinant pseudorabies virus  with porcine circovirus type 3 capsid protein co-expression.,Study of  in porcine,HNX-ΔTK/gE gene deletion and capsid protein co-expression induce protection against porcine circovirus type 3.,HNX-ΔTK/gE gene deletion and capsid protein co-expression induce protection against porcine circovirus type 3.,0.06991536975238231
34875996,Further host-genomic characterization of total antibody response to PRRSV vaccination and its relationship with reproductive performance in commercial sows: genome-wide haplotype and zygosity analyses.,Study of  in pig,Genome-wide association study of antibody response to PRRSV vaccination in crossbred sows.,Genome-wide association study of antibody response to PRRSV vaccination in crossbred sows.,0.13116764314980853
35155642,The Evidence for a Causal Link Between Disease and Damaging Behavior in Pigs.,Damaging behaviors (DB) such as tail and ear biting are,A causal link between tail-biting and health problems in pigs.,A causal link between tail-biting and health problems in pigs.,0.24051990745470517
35369328,Myocardial Extracellular Volume Fraction Measured by Cardiac Magnetic Resonance Imaging Negatively Correlates With Cardiomyocyte Breadth in a Healthy Porcine Model.,Study of  in porcine,Cardiomyocyte size is negatively correlated with the extracellular volume fraction in a porcine model.,Cardiomyocyte size is negatively correlated with the extracellular volume fraction in a porcine model.,0.07399927443879031
35441590,"Neocortical pyramidal neurons with axons emerging from dendrites are frequent in  non-primates, but rare in monkey and human.",Detection of  in pig,The distribution and proportion of axon carrying dendrite neurons in neocortical pyramidal cells of non-primate species.,The distribution and proportion of axon carrying dendrite neurons in neocortical pyramidal cells of non-primate species.,0.02886589539106327
34922518,"Transcatheter radiofrequency pulmonary artery denervation in swine: the evaluation of lesion degree, hemodynamics and pulmonary hypertension inducibility.",Study of  in swine,Pulmonary artery denervation does not affect pulmonary arterial pressure in a TXA2-induced pulmonary hypertension model in swine.,Pulmonary artery denervation does not affect pulmonary arterial pressure in a TXA2-Induced pulmonary hypertension model in swine.,0.07492402094280846
35011225,ACSL4 Directs Intramuscular Adipogenesis and Fatty Acid Composition in Pigs.,Study of  in pig,Acyl-CoA Synthetase Long Chain Family Member 4 (ACSL4) Regulates Porcine Intramuscular Adipogenesis and Meat Quality.,Acyl-CoA Synthetase Long Chain Family Member 4 (ACSL4) Regulates Porcine Intramuscular Adipogenesis and Meat Quality.,0.06541868941754436
35122624,Mapping and analysis of a spatiotemporal H3K27ac and gene expression spectrum in  pigs., and its association with chromosome,Mapping the spatiotemporal landscape of putative enhancers and promoters in Chinese indigenous Bama Xiang and Large White pigs.,Mapping the spatiotemporal landscape of putative enhancers and promoters in Chinese indigenous Bama Xiang and Large White pigs.,0.01757079221363004
34963048,Microfluidic Synthesis of Theranostic Nanoparticles with Near-Infrared Scintillation: Toward Next-Generation Dosimetry in X-ray-Induced Photodynamic Therapy.,We developed a microfluidic synthesis to grow GdF3:Eu theranostic scintillating,GdF3:Eu theranostic scintillating nanoparticles to monitor X-ray activated photodynamic therapy.,GdF3:Eu theranostic scintillating nanoparticles to monitor X-ray activated photodynamic therapy.,0.03219290164685344
